[22:28:23] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:28:24] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:28:24] [ServerMain/INFO]: Reloading ResourceManager: Default
[22:28:25] [Worker-Main-13/INFO]: Loaded 7 recipes
[22:28:25] [Worker-Main-13/INFO]: Loaded 1141 advancements
[22:28:30] [Server thread/INFO]: Starting minecraft server version 1.18.1
[22:28:30] [Server thread/INFO]: Loading properties
[22:28:30] [Server thread/INFO]: Default game type: SURVIVAL
[22:28:30] [Server thread/INFO]: Generating keypair
[22:28:30] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:28:30] [Server thread/INFO]: Using default channel type
[22:28:31] [Server thread/INFO]: Preparing level "world"
[22:28:41] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:28:42] [Worker-Main-22/INFO]: Preparing spawn area: 0%
[22:28:42] [Worker-Main-25/INFO]: Preparing spawn area: 0%
[22:28:42] [Worker-Main-25/INFO]: Preparing spawn area: 0%
[22:28:42] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:28:43] [Worker-Main-22/INFO]: Preparing spawn area: 0%
[22:28:43] [Worker-Main-21/INFO]: Preparing spawn area: 0%
[22:28:44] [Worker-Main-22/INFO]: Preparing spawn area: 0%
[22:28:44] [Worker-Main-16/INFO]: Preparing spawn area: 0%
[22:28:45] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:28:45] [Worker-Main-23/INFO]: Preparing spawn area: 1%
[22:28:46] [Worker-Main-24/INFO]: Preparing spawn area: 2%
[22:28:46] [Worker-Main-15/INFO]: Preparing spawn area: 2%
[22:28:47] [Worker-Main-14/INFO]: Preparing spawn area: 2%
[22:28:47] [Worker-Main-24/INFO]: Preparing spawn area: 3%
[22:28:48] [Worker-Main-17/INFO]: Preparing spawn area: 3%
[22:28:48] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[22:28:49] [Worker-Main-24/INFO]: Preparing spawn area: 5%
[22:28:49] [Worker-Main-21/INFO]: Preparing spawn area: 5%
[22:28:50] [Worker-Main-17/INFO]: Preparing spawn area: 6%
[22:28:50] [Worker-Main-24/INFO]: Preparing spawn area: 6%
[22:28:51] [Worker-Main-23/INFO]: Preparing spawn area: 9%
[22:28:51] [Worker-Main-23/INFO]: Preparing spawn area: 10%
[22:28:52] [Worker-Main-17/INFO]: Preparing spawn area: 10%
